Name	TSPTW	Makespan
n200w20.005.txt	1020	1123
n200w40.001.txt	1023	1188
n200w40.002.txt	948	1137
n200w40.003.txt	933	1134
n200w40.004.txt	980	1150
n200w40.005.txt	1037	1171
N20ft301.dat	661.6	661.6
N20ft302.dat	684.2	703
N20ft303.dat	746.4	746.4
N20ft304.dat	817	817
N20ft305.dat	716.5	724.7
N20ft306.dat	727.8	729.5
N20ft307.dat	691.8	691.8
N20ft308.dat	788.2	788.2
N20ft309.dat	730.7	751.8
N20ft310.dat	683	693.8
N20ft401.dat	660.8	660.9
N20ft402.dat	684.2	701
N20ft403.dat	746.4	746.4
N20ft404.dat	817	817
N20ft405.dat	716.5	724.7
N20ft406.dat	727.8	728.5
N20ft407.dat	691.8	691.8
N20ft408.dat	757.3	786.1
N20ft409.dat	730.7	749.8
N20ft410.dat	683	693.8
n20w100.001.txt	237	309
n20w100.002.txt	222	285
n20w100.003.txt	310	358
n20w100.004.txt	349	379
n20w100.005.txt	258	327
n20w120.001.txt	267	337
n20w120.002.txt	218	246
n20w120.003.txt	303	347
n20w120.004.txt	300	353
n20w120.005.txt	240	315
n20w140.001.txt	176	230
n20w140.002.txt	272	307
n20w140.003.txt	236	301
n20w140.004.txt	255	318
n20w140.005.txt	225	275
n20w160.001.txt	241	347
n20w160.002.txt	201	250
n20w160.003.txt	201	331
n20w160.004.txt	203	287
n20w160.005.txt	245	342
n20w180.001.txt	253	353
n20w180.002.txt	265	347
n20w180.003.txt	271	315
n20w180.004.txt	201	284
n20w180.005.txt	193	257
n20w20.001.txt	378	387
n20w20.002.txt	286	296
n20w20.003.txt	394	403
n20w20.004.txt	396	401
n20w20.005.txt	352	365
n20w200.001.txt	233	259
n20w200.002.txt	203	242
n20w200.003.txt	249	305
n20w200.004.txt	293	326
n20w200.005.txt	227	277
n20w40.001.txt	254	280
n20w40.002.txt	333	357
n20w40.003.txt	317	355
n20w40.004.txt	388	397
n20w40.005.txt	288	325
n20w60.001.txt	335	400
n20w60.002.txt	244	300
n20w60.003.txt	352	381
n20w60.004.txt	280	337
n20w60.005.txt	338	392
n20w80.001.txt	329	403
n20w80.002.txt	338	397
n20w80.003.txt	320	365
n20w80.004.txt	304	345
n20w80.005.txt	264	307
N40ft201.dat	1100.6	1109.3
N40ft202.dat	1010.4	1017.4
N40ft203.dat	876.8	903.1
N40ft204.dat	885.8	897.4
N40ft205.dat	940.9	983.6
N40ft206.dat	1054.2	1081.9
N40ft207.dat	867.5	884.9
N40ft208.dat	1050.7	1051.6
N40ft209.dat	1013.9	1027.5
N40ft210.dat	1026.3	1035.3
N40ft401.dat	1085	1105.2
N40ft402.dat	995.6	1016.4
N40ft403.dat	845.8	903.1
N40ft404.dat	868	897.4
N40ft405.dat	936.5	982.6
N40ft406.dat	969.1	1081.9
N40ft407.dat	831.2	872.2
N40ft408.dat	1002.7	1043.5
N40ft409.dat	1000.5	1025.5
N40ft410.dat	983.8	1034.3
n40w100.001.txt	429	471
n40w100.002.txt	358	452
n40w100.003.txt	364	458
n40w100.004.txt	357	476
n40w100.005.txt	377	458
n40w120.001.txt	434	470
n40w120.002.txt	445	557
n40w120.003.txt	357	464
n40w120.004.txt	303	392
n40w120.005.txt	350	470
n40w140.001.txt	328	460
n40w140.002.txt	383	459
n40w140.003.txt	398	476
n40w140.004.txt	342	458
n40w140.005.txt	371	438
n40w160.001.txt	348	470
n40w160.002.txt	337	451
n40w160.003.txt	346	415
n40w160.004.txt	288	425
n40w160.005.txt	315	373
n40w180.001.txt	337	444
n40w180.002.txt	347	448
n40w180.003.txt	279	398
n40w180.004.txt	354	409
n40w180.005.txt	335	438
n40w20.001.txt	500	523
n40w20.002.txt	552	607
n40w20.003.txt	478	514
n40w20.004.txt	404	442
n40w20.005.txt	499	520
n40w200.001.txt	330	416
n40w200.002.txt	303	402
n40w200.003.txt	339	408
n40w200.004.txt	301	426
n40w200.005.txt	296	408
n40w40.001.txt	465	510
n40w40.002.txt	461	519
n40w40.003.txt	474	536
n40w40.004.txt	452	508
n40w40.005.txt	453	488
n40w60.001.txt	494	535
n40w60.002.txt	470	509
n40w60.003.txt	408	465
n40w60.004.txt	382	475
n40w60.005.txt	328	423
n40w80.001.txt	395	497
n40w80.002.txt	431	498
n40w80.003.txt	412	488
n40w80.004.txt	417	462
n40w80.005.txt	344	488
N60ft201.dat	1353.5	1375.4
N60ft202.dat	1161.6	1186.4
N60ft203.dat	1182.9	1194.2
N60ft204.dat	1257.5	1283.6
N60ft205.dat	1184.1	1215.5
N60ft206.dat	1199.6	1238.8
N60ft207.dat	1299	1305.3
N60ft208.dat	1113	1172.6
N60ft209.dat	1171.3	1243.8
N60ft210.dat	1234.3	1273.2
N60ft301.dat	1337	1375.4
N60ft302.dat	1089.5	1184.4
N60ft303.dat	1179	1194.2
N60ft304.dat	1230	1283.6
N60ft305.dat	1151.6	1214.5
N60ft306.dat	1167.9	1237.8
N60ft307.dat	1220.1	1298.4
N60ft308.dat	1097.6	1168.8
N60ft309.dat	1140.6	1242.8
N60ft310.dat	1219.2	1273.2
N60ft401.dat	1335	1375.4
N60ft402.dat	1088.1	1183.4
N60ft403.dat	1173.7	1194.2
N60ft404.dat	1184.7	1283.6
N60ft405.dat	1146.2	1212.5
N60ft406.dat	1140.2	1236.8
N60ft407.dat	1198.9	1296.4
N60ft408.dat	1029.4	1150
N60ft409.dat	1121.4	1241.8
N60ft410.dat	1189.6	1273.2
n60w100.001.txt	515	576
n60w100.002.txt	538	622
n60w100.003.txt	560	610
n60w100.004.txt	510	625
n60w100.005.txt	451	668
n60w120.001.txt	384	536
n60w120.002.txt	427	606
n60w120.003.txt	407	541
n60w120.004.txt	490	607
n60w120.005.txt	547	579
n60w140.001.txt	423	596
n60w140.002.txt	462	647
n60w140.003.txt	427	625
n60w140.004.txt	488	578
n60w140.005.txt	460	554
n60w160.001.txt	560	672
n60w160.002.txt	423	665
n60w160.003.txt	434	569
n60w160.004.txt	401	573
n60w160.005.txt	502	619
n60w180.001.txt	411	556
n60w180.002.txt	399	561
n60w180.003.txt	445	606
n60w180.004.txt	456	629
n60w180.005.txt	395	528
n60w20.001.txt	551	586
n60w20.002.txt	605	656
n60w20.003.txt	533	593
n60w20.004.txt	616	670
n60w20.005.txt	603	629
n60w200.001.txt	410	526
n60w200.002.txt	414	572
n60w200.003.txt	455	560
n60w200.004.txt	431	575
n60w200.005.txt	427	618
n60w40.001.txt	591	664
n60w40.002.txt	621	697
n60w40.003.txt	603	675
n60w40.004.txt	597	628
n60w40.005.txt	539	608
n60w60.001.txt	609	722
n60w60.002.txt	566	715
n60w60.003.txt	485	619
n60w60.004.txt	571	639
n60w60.005.txt	569	669
n60w80.001.txt	458	606
n60w80.002.txt	498	611
n60w80.003.txt	550	656
n60w80.004.txt	566	679
n60w80.005.txt	468	589
n80w100.001.txt	565	676
n80w100.002.txt	567	721
n80w100.003.txt	580	729
n80w100.004.txt	649	759
n80w100.005.txt	532	671
n80w120.001.txt	498	675
n80w120.002.txt	577	748
n80w120.003.txt	540	677
n80w120.004.txt	501	644
n80w120.005.txt	591	743
n80w140.001.txt	512	689
n80w140.002.txt	470	651
n80w140.003.txt	580	673
n80w140.004.txt	423	612
n80w140.005.txt	545	739
n80w160.001.txt	506	624
n80w160.002.txt	549	654
n80w160.003.txt	521	690
n80w160.004.txt	509	655
n80w160.005.txt	439	645
n80w180.001.txt	551	678
n80w180.002.txt	479	633
n80w180.003.txt	524	680
n80w180.004.txt	479	659
n80w180.005.txt	470	632
n80w20.001.txt	616	729
n80w20.002.txt	737	798
n80w20.003.txt	667	727
n80w20.004.txt	615	694
n80w20.005.txt	748	793
n80w200.001.txt	490	626
n80w200.002.txt	488	638
n80w200.003.txt	464	679
n80w200.004.txt	526	667
n80w200.005.txt	439	621
n80w40.001.txt	606	743
n80w40.002.txt	618	701
n80w40.003.txt	674	731
n80w40.004.txt	557	662
n80w40.005.txt	695	791
n80w60.001.txt	554	674
n80w60.002.txt	633	733
n80w60.003.txt	651	743
n80w60.004.txt	619	718
n80w60.005.txt	575	695
n80w80.001.txt	624	728
n80w80.002.txt	592	690
n80w80.003.txt	589	730
n80w80.004.txt	594	743
n80w80.005.txt	570	682
rbg010a.tw	671	3840
rbg016a.tw	938	2596
rbg016b.tw	1304	2094
rbg017.2.tw	852	2351
rbg017.tw	893	2351
rbg017a.tw	4296	4296
rbg019a.tw	1262	2694
rbg019b.tw	1866	3840
rbg019c.tw	4536	4536
rbg019d.tw	1356	3479
rbg020a.tw	4689	4689
rbg021.2.tw	4528	4528
rbg021.3.tw	4528	4528
rbg021.4.tw	4525	4525
rbg021.5.tw	4515	4516
rbg021.6.tw	4480	4492
rbg021.7.tw	4479	4481
rbg021.8.tw	4478	4481
rbg021.9.tw	4478	4481
rbg021.tw	4536	4536
rbg027a.tw	5091	5093
rbg031a.tw	1863	3498
rbg033a.tw	2069	3757
rbg034a.tw	2222	3314
rbg035a.2.tw	2056	3325
rbg035a.tw	2144	3388
rbg038a.tw	2480	5699
rbg040a.tw	2378	5679
rbg041a.tw	2598	3793
rbg042a.tw	2772	3260
rbg048a.tw	9383	9799
rbg049a.tw	10018	13257
rbg050a.tw	2953	12050
rbg050b.tw	9863	11957
rbg050c.tw	10024	10985
rbg055a.tw	3761	6929
rbg067a.tw	4625	10331
rbg086a.tw	8400	16899
rbg092a.tw	7158	12501
rbg125a.tw	7936	14214
rbg132.2.tw	8192	18524
rbg132.tw	8468	18524
rbg152.3.tw	9788	17455
rbg152.tw	10032	17455
rbg172a.tw	10950	17783
rbg193.2.tw	12142	21401
rbg193.tw	12535	21401
rbg201a.tw	12948	21380
rbg233.2.tw	14495	26143
rbg233.tw	14992	26143
rc_201.1.txt	444.54	592.06
rc_201.2.txt	711.54	860.17
rc_201.3.txt	790.61	853.71
rc_201.4.txt	793.64	889.18
rc_202.1.txt	771.78	850.48
rc_202.2.txt	304.14	338.52
rc_202.3.txt	837.72	894.1
rc_202.4.txt	793.03	853.71
rc_203.1.txt	453.48	488.42
rc_203.2.txt	784.16	853.71
rc_203.3.txt	817.53	921.44
rc_203.4.txt	314.29	338.52
rc_204.1.txt	878.64	917.83
rc_204.2.txt	662.16	690.06
rc_204.3.txt	455.03	455.03
rc_205.1.txt	343.21	417.81
rc_205.2.txt	755.93	820.19
rc_205.3.txt	825.06	950.05
rc_205.4.txt	760.47	837.71
rc_206.1.txt	117.85	117.85
rc_206.2.txt	828.06	870.49
rc_206.3.txt	574.42	650.59
rc_206.4.txt	831.67	911.98
rc_207.1.txt	732.68	804.67
rc_207.2.txt	701.25	713.9
rc_207.3.txt	682.4	745.77
rc_207.4.txt	119.64	133.14
rc_208.1.txt	789.25	810.7
rc_208.2.txt	533.78	579.51
rc_208.3.txt	634.44	686.8
rc201.0	628.62	853.71
rc201.1	654.7	850.48
rc201.2	707.65	883.97
rc201.3	422.54	722.43
rc202.0	496.22	850.48
rc202.1	426.53	702.28
rc202.2	611.77	853.71
rc202.3	627.85	883.97
rc203.0	727.45	870.52
rc203.1	726.99	850.48
rc203.2	617.46	853.71
rc204.0	541.45	839.24
rc204.1	485.37	492.6
rc204.2	778.4	870.52
rc205.0	511.65	834.62
rc205.1	491.22	899.24
rc205.2	714.69	908.79
rc205.3	601.24	684.21
rc206.0	835.23	893.21
rc206.1	664.73	756.45
rc206.2	655.37	776.19
rc207.0	806.69	847.63
rc207.1	726.36	785.37
rc207.2	546.41	650.8
rc208.0	820.56	836.04
rc208.1	509.04	615.51
rc208.2	503.92	596.21
